Gene	Chip2_1cell_A3	Chip2_1cell_B3	Chip2_1cell_A4	Chip2_1cell_B4	Chip2_1cell_A5	Chip2_1cell_B5	Chip2_1cell_A6	Chip2_1cell_B6	Chip2_3cells_A7	Chip2_3cells_B7	Chip2_3cells_A8	Chip2_3cells_B8	Chip2_3cells_A9	Chip2_3cells_B9	Chip2_11cells_A10	Chip2_11cells_B10	Chip2_11cells_A11	Chip2_11cells_B11	Chip2_11cells_A12	Chip2_11cells_B12
Gm30898	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm30974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm39591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir6341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm17644	0	0	0	0	0	30	0	0	0	32	0	0	0	0	0	0	0	0	0	0
Sulf1	0	2	3	35	3	51	5	1	7	7	2	15	35	6	18	69	8	73	72	30
Slco5a1	0	10	16	8	4	3	1	2	1	209	0	5	2	2	0	5	5	9	167	7
Gm39592	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
Prdm14	0	1	3	1	9	5	0	1	0	1	5	3	1	0	0	2	4	7	8	4
Ncoa2	0	3	24	1947	14	21	6	8	971	5	574	589	20	84	42	26	113	36	75	59
Gm23169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm39595	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0
Tram1	0	3788	5356	750	0	1748	4656	1	10	2088	1455	1683	1285	521	757	2914	2476	951	1764	333
Lactb2	0	1	0	0	224	706	0	1	516	524	790	418	1	442	693	481	625	359	492	285
Xkr9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm26273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm31195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm39596	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0
Eya1	0	0	0	0	0	0	0	0	0	515	0	0	0	0	0	0	0	0	0	0
Msc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm9947	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trpa1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kcnb2	1	1	0	2	0	2	1	0	0	70	3	3	1	3	0	1	3	3	2	3
Gm51616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm51617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm25168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Terf1	0	1	0	0	0	2971	2037	2933	0	384	0	0	0	144	97	138	478	431	316	343
Sbspon	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	1	0
Gm31523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930444P10Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rpl7	0	14378	10815	12254	5572	8429	12872	10204	9104	10292	9103	11705	9891	9827	9579	11134	14601	9932	10981	10765
Rdh10	0	235	0	0	2319	0	0	0	0	0	0	0	0	0	120	105	4	20	581	1
Stau2	0	0	1088	0	1	919	1	0	0	0	0	327	534	0	553	0	17	625	68	0
Gm7568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C130013N14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ube2w	0	3855	4201	0	2972	4383	0	0	79	553	1367	613	1479	923	1175	2317	2231	2323	1589	868
Eloc	0	9029	4330	11253	4333	8744	7662	1	5960	6732	5296	4637	6765	4942	6347	8398	5574	5903	7006	3437
D030040B21Rik	0	339	0	0	0	84	0	0	0	1	0	0	1	0	0	39	45	10	0	0
Tmem70	0	1227	2026	121	528	4396	5612	471	344	1305	0	1686	634	496	457	2143	1668	2675	1427	755
Ly96	0	144	0	470	0	0	0	0	374	400	979	207	698	535	426	372	439	271	926	431
LOC118567657	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jph1	0	0	0	12	2	1927	204	0	1	0	1958	1	10	2	3	16	196	205	7	5
Gm46085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Gm31982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gdap1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	2	1	0
Gm28784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm39597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pi15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Gm28154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm16070	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
Crispld1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Crisp4	0	0	124	0	0	8	0	0	0	0	0	0	17	0	0	0	5	3	1	1
Defb18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Defb41	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Gm28343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm15825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tfap2d	0	1	30	12	4	10	17	3	7	13	3	11	8	8	7	6	8	8	22	6
Tfap2b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm32651	0	0	1	2	2	1	0	1	0	0	0	0	0	1	1	2	1	0	1	1
Pkhd1	0	1	0	0	1	2	0	0	0	29	0	0	226	2	0	3	0	12	1	1
4930486I03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm24162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lincmd1	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	48	62	0
Mir206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir133b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Il17a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Il17f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0
Mcm3	0	1208	0	0	0	1879	0	0	1619	35	86	887	0	913	622	336	226	796	640	513
Gm24723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6720483E21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paqr8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	1	6	0
Gm24171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm51618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Efhc1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tram2	0	0	0	0	0	659	634	0	0	277	0	258	335	0	238	14	0	0	125	12
Tmem14a	0	0	0	0	0	0	0	1	0	105	0	15	0	0	44	3	0	1	24	72
Gm32947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm28836	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2
Gsta3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm7094	0	24	0	0	0	5	0	0	0	0	0	0	0	0	5	2	5	0	0	0
Khdc1a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Khdc1c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm33147	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	1	1
Khdc1b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kcnq5	0	186	530	376	134	157	18	564	101	331	441	385	683	189	114	552	580	264	363	364
LOC118567719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rims1	0	0	54	84	2	4	0	0	2	9	2	7	11	47	43	66	8	65	353	57
Gm7759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ppp1r14bl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm30442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm29506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC118567721	0	0	0	0	0	540	0	0	0	0	789	0	0	0	0	193	101	1	224	235
Mir30a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir30c-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ogfrl1	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	7	0	0	183	0
Gm19673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm28822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B3gat2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Smap1	0	0	3	2	230	0	2	0	0	201	0	493	17	348	446	63	267	30	535	156
Gm53062	0	0	1	0	1	0	0	0	0	0	24	0	0	0	0	0	0	42	0	1
Sdhaf4	0	0	0	46	71	24	92	0	256	126	106	59	247	310	115	166	155	97	156	245
Fam135a	1	8	4	3445	2	1	3	1	5	685	6	1	5	1	3	126	4	5	514	30
Col9a1	0	6	2	0	4	2	0	1	0	1	0	19	1	3	2	3	1	6	11	3
Col19a1	4	101	83	70	52	51	101	156	54	54	72	64	65	62	99	133	77	68	107	86
Gm26418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lmbrd1	2	17	13	1366	6	537	21	25	9	171	2788	394	433	1926	333	711	435	215	705	794
Gm29414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adgrb3	0	0	0	0	1	3	2	0	1	0	1	1	0	2	2	1	1	1	0	0
Gm20172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm25294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm9884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm39614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm31076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm31136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4931408C20Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm5524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm45942	0	0	0	0	0	0	6	0	0	1	0	0	0	1	1	0	0	0	0	0
Gm6462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir6342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm31465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm31525	0	0	0	0	0	0	0	0	0	0	0	0	0	205	0	0	95	0	2	74
Gm39615	0	0	0	25	1	2	0	1	0	2	0	1	0	3	0	3	100	2	30	5
Gm31581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm46086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC115487655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phf3	0	729	0	604	0	845	0	19	22	0	625	110	179	0	13	201	2	15	598	157
Ptp4a1	0	2348	59	859	1541	1212	2004	0	1747	711	809	1213	1043	1323	1139	1399	2975	1082	1200	1243
LOC115487084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0
Gm29669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
Gm28644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4931428L18Rik	0	4	1	6	1769	2	5	0	1	240	3	2	5	6	0	4	4	4	1	3
Lgsn	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dnaaf6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm26145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC115487662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm51754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Khdrbs2	0	0	0	2	1	1	0	0	0	1	0	0	0	1	0	1	5	0	0	0
Gm25814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm9839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm5415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm24732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm39616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm24901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm39617	0	0	2	1	4	6	0	0	0	1	0	3	1	0	1	2	2	3	1	2
Gm25792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prim2	0	0	0	1	2	962	0	2351	560	48	0	4	33	1	59	1059	706	615	850	2
1700001G17Rik	0	0	0	0	0	341	0	0	0	0	0	0	0	110	388	125	228	239	0	0
Gm32229	0	2	4	2	75	79	0	0	1	0	2	52	1	9	2	102	8	13	47	68
Rab23	0	0	2	2	2	7	2802	0	16	8	0	743	2	0	321	253	40	304	12	1
Bag2	0	4034	0	2	101	1	1218	0	834	5115	1760	1205	25	1573	1173	1253	1596	397	1314	1210
Zfp451	0	2	0	0	0	34	0	0	0	0	1389	329	93	905	404	171	66	141	597	112
Gm15455	0	0	0	11	0	0	9	0	3	0	0	0	5	0	0	5	1	1	0	0
Bend6	0	2	7	28	6	125	34	0	3	125	2	25	3	192	6	13	541	427	13	11
Gm38471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dst	0	24	2	898	30	232	370	3266	1	1603	31	46	13	304	524	45	2	48	2635	364
LOC118567732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir6896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm51742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm26788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm3052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC118567733	0	0	0	0	0	0	0	0	104	0	64	43	0	0	0	0	0	0	0	0
Mir5103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
n-TEttc1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ccdc115	0	1357	0	0	0	794	3602	1	325	1318	765	487	1001	2068	647	319	106	410	1121	659
Imp4	0	2213	2447	1370	0	624	0	2427	2639	1947	1085	2607	1727	0	801	2170	2414	1862	1848	175
Gm32504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ptpn18	0	0	0	0	0	0	0	0	0	59	4	1	0	0	0	9	0	0	6	1
LOC118567734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930568A12Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1
Gm32566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prss39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cfc1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prss40	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0
Amer3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm38647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arhgef4	0	0	0	0	0	2	0	0	0	151	0	0	0	0	1	0	0	1	0	9
Gm32920	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm32790	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fam168b	0	0	0	0	118	28	2310	1670	15	1536	0	0	1076	936	27	330	942	95	496	886
Plekhb2	0	4995	0	1561	35	611	0	0	1883	1877	2291	285	132	2106	137	313	468	722	431	461
LOC118567735	0	2	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	1	0
Gm25096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm25634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110002O04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm33176	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	2	0
Gm39622	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1
Gm33222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm39623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm39624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	206
Hs6st1	0	1290	0	0	489	0	0	0	0	0	565	0	304	104	10	29	0	255	143	0
LOC118567736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm33280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Uggt1	0	1149	1	1367	0	945	0	3558	186	1429	0	379	1084	46	99	618	503	505	1477	611
Mir6897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm39625	0	0	0	0	13	0	0	0	0	0	0	5	0	0	0	21	0	0	0	0
Neurl3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Arid5a	0	0	2377	0	1	0	0	0	0	0	854	0	127	0	132	418	50	104	397	0
Kansl3	0	728	0	0	638	1407	0	0	0	2	0	23	0	0	0	0	0	107	175	215
Mir6898	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fer1l5	0	0	0	1	0	1	0	0	2	10	0	0	0	0	0	0	0	0	1	0
Lman2l	0	0	0	1709	0	0	0	0	0	590	0	4	580	688	162	310	48	313	170	318
Gm33401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm33454	0	1	0	0	0	399	0	0	0	0	0	35	0	0	0	0	0	7	0	0
Cnnm4	0	0	0	80	0	0	0	0	0	0	335	0	8	0	0	27	0	8	218	206
Cnnm3	0	0	0	0	0	0	0	0	0	0	0	0	356	0	0	0	0	0	0	0
Ankrd23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	72	0
Ankrd39	0	0	0	1	437	1	0	0	224	1	1324	248	0	262	40	145	227	237	57	0
Sema4c	0	0	0	4	1	0	0	2	101	393	0	0	269	96	132	65	105	258	1	263
Fam178b	0	2	2	6	3	5	24	110	16	7	154	162	15	80	27	25	20	178	112	53
Cox5b	0	4651	4007	4744	3764	3279	4299	3053	2731	5561	4199	3551	5402	3977	3179	5280	5893	4407	6948	4862
Actr1b	0	0	2313	1203	0	1611	3541	1	509	2810	1703	815	1074	1630	407	993	268	489	573	1170
4933424G06Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm33533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zap70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmem131	0	3	2	7	8	580	1	1029	36	0	77	3	9	10	154	55	2	339	771	284
Vwa3b	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0	68	0
Gm37020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cnga3	0	0	678	0	2	0	1	0	0	0	0	0	0	0	0	4	0	4	0	0
Inpp4a	0	0	0	4	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	34
4930439A04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Coa5	0	2340	4024	0	0	2220	0	2713	640	1139	0	941	585	1925	105	1285	1195	1617	1284	253
Unc50	0	8819	0	342	1292	2422	470	0	2302	3437	5	977	1178	1176	517	2083	1197	1134	1675	1152
Mgat4a	0	0	0	2	0	13	484	0	7	1	2	1	1	1	0	1	0	19	21	8
Gm39627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cracdl	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930556I23Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
