Protein	Protein.ID	Entry.Name	Gene	CtrlA1	CtrlA10	CtrlA11	CtrlA12	CtrlA2	CtrlA3	CtrlA4	CtrlA5	CtrlA6	CtrlA7	CtrlA8	CtrlA9	CtrlB1	CtrlB10	CtrlB11	CtrlB12	CtrlB2	CtrlB3	CtrlB4	CtrlB5	CtrlB6	CtrlB7	CtrlB8	CtrlB9	CtrlC1	CtrlC10	CtrlC11	CtrlC12	CtrlC2	CtrlC3	CtrlC4	CtrlC5	CtrlC6	CtrlC7	CtrlC8	CtrlC9	CtrlD1	CtrlD10	CtrlD11	CtrlD12	CtrlD2	CtrlD3	CtrlD4	CtrlD5	CtrlD6	CtrlD7	CtrlD8	CtrlD9	TrtdA1	TrtdA10	TrtdA12	TrtdA2	TrtdA3	TrtdA4	TrtdA5	TrtdA6	TrtdA7	TrtdA8	TrtdA9	TrtdB1	TrtdB10	TrtdB11	TrtdB12	TrtdB2	TrtdB3	TrtdB4	TrtdB5	TrtdB6	TrtdB7	TrtdB8	TrtdB9	TrtdC1	TrtdC10	TrtdC11	TrtdC12	TrtdC2	TrtdC3	TrtdC4	TrtdC5	TrtdC6	TrtdC7	TrtdC8	TrtdC9	TrtdD1	TrtdD10	TrtdD11	TrtdD12	TrtdD2	TrtdD3	TrtdD4	TrtdD5	TrtdD6	TrtdD7	TrtdD8	TrtdD9	TrtdtA11
sp|A2ADY9|DDI2_MOUSE	A2ADY9	DDI2_MOUSE	Ddi2	0	0	44608.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36507.66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29373.627	0	0	0	0	0	19221.498	0	0	0	0	0	0	0	0	0	87027.39	0	0	0	0	0	0	45733.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp|A2AF47|DOC11_MOUSE	A2AF47	DOC11_MOUSE	Dock11	0	0	47442.69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28703.625	0	20687.02	0	58223.414	51050.625	0	0	0	0	0	0	0	57278.15	0	0	0	43905.49	0	0	0	0	36659.78	0	0	40269.91	0	0	0	0	0	0	0	0	0	52995.3	0	0	0	38278.54	0	0	0	0	0	0	0	21028.078	0	0	0
sp|A2AGT5|CKAP5_MOUSE	A2AGT5	CKAP5_MOUSE	Ckap5	81038.836	43605.79	59616.47	28961.027	37802.336	29458	0	43505.406	0	33357.207	31087.44	42323.402	58039.34	52696.742	65499.477	46048.895	69049	0	44611.684	31172.426	35435.938	48430.348	55822.48	39176.453	35722.453	0	42056.555	39508.43	30596.025	33797.87	0	0	0	38932.098	0	0	0	0	0	0	52824.3	0	0	0	0	37266.105	92656.31	32936.7	0	130000.516	82462.13	83514.55	121485.625	0	115498.73	175313.12	198831.28	88889.61	197550.25	86946.234	134464.95	177440.94	235070.4	0	0	148254.47	127117.82	163080.2	130187.73	96707.48	205180.58	133208.81	132216.69	110519.15	171511.8	132102.27	85630.234	197771.6	93901.3	112824.695	64807.625	165472.47	185471.36	109983.52	126124.65	34558.164	0	122277.96	0	0	0	147659.19	93382.305	137051.94	121728.55	0
sp|A2AJ15|MA1B1_MOUSE	A2AJ15	MA1B1_MOUSE	Man1b1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp|A2AJI0|MA7D1_MOUSE	A2AJI0	MA7D1_MOUSE	Map7d1	94244.74	62046.55	60240.105	47637.203	49474.887	58615.555	0	61642.9	0	58864.73	51918.23	59097.438	54963.305	63252.85	43242.02	59630.46	75122.6	0	55984.246	45019.195	49786.023	58795.008	48967.05	56703.246	49201.668	0	63095.453	55131.14	53444.688	42623.445	0	0	0	56233.285	38824.81	0	0	0	0	0	76186.96	0	0	0	0	47315.383	67763.09	35726.285	0	107953.805	98048.836	59116.293	67091.414	0	74062.38	55114.79	109818.9	107825.92	95300.336	117263.414	71102.24	142468.81	101848.72	0	29167.502	63322.234	71305.07	123431.96	81242.19	80859.87	105952.66	83639.586	81265.875	85224.92	102713.92	87927.62	67669.25	91704.47	58030.906	83330.695	66388.2	92616.484	82407.984	72825.14	74488.96	41364.926	28187.727	77351.73	0	42611.336	0	114442.484	66269.195	0	92077.016	0
sp|A2AN08|UBR4_MOUSE	A2AN08	UBR4_MOUSE	Ubr4	65269.5	45162.336	73324.39	41651.703	35728.01	42857.883	0	51817.613	0	46963.336	41884.773	59204.453	45349.242	54121.324	76192.86	42015.668	58506.973	0	48072.625	40363.824	26726.14	52867.258	45008.645	59408.594	45302.832	0	50227.64	54999.68	55978.215	32266.814	0	0	0	52382.316	35392.53	0	0	0	0	0	59777.906	0	0	0	0	42319.61	75143.01	35612.67	0	136199.52	108052.15	42852.05	72369.125	0	90718.086	57490.22	121389.4	124411.56	92600.45	115845.03	81784.48	136351.77	120544.46	0	0	78741.36	89425.71	97954.73	73686.055	48453.773	85927.914	70431.39	75442.055	105337.66	86551.9	78446.375	75033.18	107678.57	66382.68	97004.6	95044.18	115448.875	96443.42	61671.895	79759.445	0	0	76029.28	0	0	0	106891.36	58560.14	403182	78987.05	0
sp|A2APB8|TPX2_MOUSE	A2APB8	TPX2_MOUSE	Tpx2	153476.27	9018.437	89108.445	38332.254	0	28525.033	0	23766.303	0	0	0	0	51331.195	58411.535	154464.5	67308.625	109510.266	0	11623.827	0	0	32866.945	120232.35	36964.24	0	0	0	25285.086	11488.087	0	0	0	0	20656.75	0	0	0	0	0	0	77049.61	0	0	0	0	23361.703	147449.72	0	0	173862.95	0	253636.8	228479.56	0	206787.88	249345.61	395834.84	46564.844	318655.06	0	269066.62	30473.2	339817.62	0	0	344313.1	213708.11	142341.06	212603.72	157235.11	356958.47	315039.56	290329.72	12281.327	0	351572.7	175582.88	295775.3	181024.89	38440.594	16652.148	311572.56	212983.53	181539.22	232652.67	0	0	243254.11	0	0	0	101710.84	163642.45	256109.89	232781.97	0
sp|A2AQ19|RTF1_MOUSE	A2AQ19	RTF1_MOUSE	Rtf1	0	0	0	0	23092.074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27254.77	0	0	31843.83	0	0	0	0	0	0	0	0	0	0	0	0	52271.895	0	0	35713.97	0	0	0	0	31644.555	0	33056.914	34632.684	0	33460.96	44722.45	0	0	0	0	0	0	0	0	0	0	40575.098	0	0	0
sp|A2AR02|PPIG_MOUSE	A2AR02	PPIG_MOUSE	Ppig	0	0	42216.883	0	19158.969	0	0	0	0	0	0	0	0	0	0	36041.32	28357.73	0	0	0	0	0	0	0	19574.096	0	0	0	33464.508	0	0	0	0	0	23563.166	0	0	0	0	0	0	0	0	0	0	23472.6	0	0	0	83911.88	61074.72	0	68512.42	0	0	54725.01	72035.46	94611.68	46328.414	73794.42	0	0	0	0	0	49209.715	61672.273	0	52326.05	58677.047	82993.2	0	0	0	0	0	52758.047	65803.42	57134.027	0	53368.76	0	0	0	65708.37	0	0	0	0	0	0	0	52689.293	0	0	0
sp|A2ARA8|ITA8_MOUSE	A2ARA8	ITA8_MOUSE	Itga8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp|A2AT37|RENT2_MOUSE	A2AT37	RENT2_MOUSE	Upf2	0	0	221502.88	0	0	2493478.5	0	0	0	82662.7	0	0	0	0	870561.7	0	0	0	0	0	0	0	0	0	1112265	0	0	0	5272213.5	40115.094	0	0	0	0	0	0	412244.22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38483.035	45831.66	51636.7	55936.34	0	67780.89	51387.35	50676.445	0	0	0	0	0	108932.57	0	0	66963.69	100155.55	0	51826.785	0	32167.064	0	67780.51	36100.383	64728.15	38658.145	67828.08	68354.73	0	29979.66	0	0	38673.7	0	0	0	61591.87	0	7857115	0	0
sp|A2AVZ9|S43A3_MOUSE	A2AVZ9	S43A3_MOUSE	Slc43a3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp|A2AWA9|RBGP1_MOUSE	A2AWA9	RBGP1_MOUSE	Rabgap1	71514.98	49570.176	77120.164	27274.625	32763.781	59889.7	0	57024.73	0	55696.324	33250.758	69044.055	51914.97	78392.11	69559.21	54011.62	55673.996	0	53338.023	44299.01	32357.438	50461.363	62522.656	53988.777	46295.355	0	65250.71	65573.08	49965.02	84611.32	0	0	0	66120.86	31646.064	0	0	0	0	0	69148.016	0	0	0	0	45223.297	95314.445	40417.19	0	142161.88	108993.06	15935.455	70265.75	0	73785.21	65470.57	99931.25	113944.65	111023.586	113869.805	77115.69	128049.875	102925.54	0	27478.78	85170.56	0	122169.62	77759.45	54518.73	88937.6	63659.7	73526.625	101170.56	83679.055	73025.12	68101.93	104480.4	55001.68	88530.38	87884.27	111307.2	91717.46	61263.156	58927.11	0	0	65733.53	0	0	0	98160.38	73714.09	0	79328.05	0
sp|A2BDX3|MOCS3_MOUSE	A2BDX3	MOCS3_MOUSE	Mocs3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp|A2BE28|LAS1L_MOUSE	A2BE28	LAS1L_MOUSE	Las1l	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21629.76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13692.864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26704.803	0	0	20026.219	0	0	0	0	0	0	43037.83	0	0	0	0	0	28146.438	0	33298.49	0	0	0	0	0	0	0	42680.707	0	0	0	0	0	32933.484	0	0	19056.662	0	0	0	0	0	0	0	29704.201	0	34646.297	0
sp|A2BH40|ARI1A_MOUSE	A2BH40	ARI1A_MOUSE	Arid1a	0	18191.479	18337.438	17420.541	16138.856	0	0	0	0	0	18096.697	24967.725	18496.13	31492.207	21948.799	29711.342	22301.445	0	0	18460.863	0	19883.852	17173.105	0	11804.288	0	23378.31	19308.908	23138.32	16216.864	0	0	0	23581.49	0	0	0	0	0	0	0	0	0	0	0	18183.91	26322.322	18427.158	0	0	37298.035	36040.434	24794.914	0	24445.346	0	38778.926	30728.557	38061.76	24611.45	22839.299	47850.266	33817.082	0	0	35847.668	29146.324	28567.326	20099.617	32220.36	30273.64	0	39590.15	29686.432	36999	32992.66	0	43747.33	25379.629	45872.137	37361.64	44277.72	42406.207	0	34313.695	0	0	28557.625	0	0	0	33231.363	28326.877	0	26920.443	15962.52
sp|A2RSX7|TYW5_MOUSE	A2RSX7	TYW5_MOUSE	Tyw5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10002.349	0	0	0	0	19345.72	0	0	0	0	0	10451.875	0	0	0	0	0	0	0	0	15370.699	0	9810.979	0	0	0	16314.935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp|A3KGB4|TBC8B_MOUSE	A3KGB4	TBC8B_MOUSE	Tbc1d8b	169186.08	24817.281	202022.67	32853.484	24627.146	98852.195	0	121780.65	0	124834.73	30438.785	120471.06	122569.35	195423.42	165182.77	171184.72	143375.97	0	134721.97	121615.96	60397.63	135627.05	54983.895	32353.469	73299.336	0	146209.6	165102.5	108526.6	91091.27	0	0	0	43990.77	101563.49	0	15652.374	0	0	0	185358.36	0	0	0	0	39225.676	203863.17	105355.86	0	381926.84	362692.84	148476.27	77123.89	0	263809.3	238692.83	344785.28	299567.53	272678.84	315634.2	315352.75	403429.12	322943.2	0	180739.75	279580.16	248260.12	290546.2	90254.15	181158.7	307926.3	207209.67	218016.31	341885.72	81707.36	238626.38	46182.832	300741.62	48304.61	216038.44	157090.8	388222.9	303032.25	62705.9	243411.7	71672.14	121876.27	221741.75	0	55207.742	128181.34	344119.4	226754.44	313518.7	239868.89	122294.71
sp|A8C756|THADA_MOUSE	A8C756	THADA_MOUSE	Thada	0	0	68313.7	0	0	0	0	0	0	0	0	0	0	0	981815.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23847.004	0	0	0	0	0	14271.166	0	0	0	0	0	0	0	0	0	0	0	11080.162	18121.281	0	0	0	0	0	0	0	0	0	0	0	0	4987028.5	0	16006.611
sp|B1AR13|CISD3_MOUSE	B1AR13	CISD3_MOUSE	Cisd3	69625.66	49353.1	37226.496	27008.031	0	30516.146	0	59030.18	0	0	0	39644.133	54459.547	52831.3	0	0	34169.516	0	0	0	0	53300.867	58313.695	0	0	0	40054.09	45735.86	0	29025.006	0	0	0	43390.395	24869.938	0	0	0	0	0	46347.33	0	0	0	0	0	53363.64	28400.654	0	108080.836	62934.953	50917.387	63976.395	0	74110.41	83393.19	99980.95	62648.156	60617.355	93873.53	53586.125	68193.29	77878.766	0	0	59378.875	62264.26	86448.234	91570.86	44941.793	67818.09	69052.96	110989.71	53657.145	89832.14	80084.03	93438.125	81739.83	99169.484	109109.55	116028.06	94370.01	82334.69	67114.305	65485.832	0	0	71223.19	0	0	0	78922.58	87557.79	0	73352.984	0
sp|B1ARD6|SLFN9_MOUSE	B1ARD6	SLFN9_MOUSE	Slfn9	23529.355	17624.686	0	0	0	20732	0	0	0	0	0	12406.025	21192.523	25531.787	0	37107.457	0	0	0	21823.71	0	0	0	0	0	0	0	30530.596	0	0	0	0	0	0	0	0	0	0	0	0	43128.82	0	0	0	0	0	32314.646	15025.768	0	0	0	0	0	0	37861.93	77669.445	0	0	0	0	0	0	0	0	0	0	0	0	0	41455.39	68565.914	0	31094.709	0	0	27171.006	35658.824	33904.836	0	0	0	0	0	34973.2	0	0	0	0	0	0	0	0	0	32790.633	0	0
sp|B1AVZ0|UPP_MOUSE	B1AVZ0	UPP_MOUSE	Uprt	23791.338	0	26325.195	0	12279.825	22519.146	0	0	0	0	24143.967	18355.889	20027.512	23531.83	0	17445.154	29726.516	0	22238.213	16024.708	15111.816	20418.225	0	0	0	0	27392.875	0	17707.094	0	0	0	0	22801.225	0	0	0	0	0	0	27890.537	0	0	0	0	0	35842.67	14448.021	0	33937.48	38105.477	0	25635.072	0	32347.127	26204.219	44849.926	36945.8	51069.543	37390.043	35580.535	54093.02	38487.684	0	7505.479	0	28972.605	0	0	20074.848	41330.418	36521.02	25654.764	40301	44663.56	17447.318	0	27907.07	19927.53	30839.178	34440.668	32332.07	26032.12	33470.418	26707.775	0	0	32797.152	0	0	44667.42	30560.69	0	0	32421.197	0
sp|B1AY13|UBP24_MOUSE	B1AY13	UBP24_MOUSE	Usp24	17023.027	0	41932.34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11249.357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18894.287	0	0	0	0	0	0	0	19712.963	21079.682	20101.645	0	25914.518	17315.234	0	0	0	0	17674.871	0	0	17601.79	0	0	0	21634.33	14387.863	0	23085.406	0	0	0	18496.428	16770.29	0	0	0	0	17373.307	0	0	0	21252.588	11382.945	0	0	0
sp|B1AZP2|DLGP4_MOUSE	B1AZP2	DLGP4_MOUSE	Dlgap4	26000.63	16263.648	35539.965	0	15535.195	30379.219	0	18878.984	0	11110.558	23604.535	20334.639	19534.055	20712.66	0	16444.645	21150.932	0	20919.064	18218.102	0	20338.012	14399.419	0	0	0	21370.562	17548.844	12455.042	13778.612	0	0	0	23223.287	10040.338	0	0	0	0	0	23340.045	0	0	0	0	16300.276	35942.07	15343.178	0	35152.777	40409.83	0	27127.678	0	23671.729	32208.188	34098.676	61608.027	35483.887	97167.664	16548.938	53127.99	30777.854	0	0	20112.65	19220.64	48230.113	24648.373	26836.717	28507.031	28078.975	24425.607	25123.838	34609.105	20427.523	19322.562	0	18115.951	23107.916	38988.465	28937.197	23936.61	18452.129	21979.902	0	0	15584.405	0	0	0	36566.742	21332.541	0	39027.836	0
sp|B2RQC6|PYR1_MOUSE	B2RQC6	PYR1_MOUSE	Cad	6559923	4331408	5985211.5	4073707	3510582.5	3911925.2	0	4373951.5	0	3872645	3883694	3528157.8	5554048.5	5198989.5	7295728	4420605	4387633	0	4689388.5	3970271.8	3240639.8	4548411.5	4202602.5	5191850	3801266.5	0	4236836	6714493	4775445.5	4083794.2	0	0	0	4351254	3831683	0	2031308.5	0	0	0	6583438.5	0	0	0	0	4436509	5841147.5	3745859	0	7318217	5239650	1961741.9	4720613.5	0	7576710.5	4251522	3805984.5	6311034.5	6807255.5	7535120.5	6148279	5673523.5	6233873	23400000	1440559	6587558.5	5880821	8803452	7606081	2904152.5	4385474.5	4712161	4000948.2	4554085.5	7192575.5	4759522.5	6169569	5985680	4209593	6002818.5	4585319.5	7335694.5	4714084	4481302.5	4286601.5	2175572.8	18200000	4831265.5	0	1940887.5	4055423	6102295	4088312.2	7433313.5	6230285	923834.6
sp|B2RRE7|OTUD4_MOUSE	B2RRE7	OTUD4_MOUSE	Otud4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18780.273	21210.883	0	0	0	0	0	0	0	0	0	21706.81	27389.139	20445.975	0	0	0	0	0	0	13528.761	13607.533	0	0	0	0	0	0	0	32112.021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
